Country name,Year,GDP,biofuel_share_energy,coal_consumption,electricity_demand,energy_per_capita,fossil_fuel_consumption,greenhouse_gas_emissions,nuclear_consumption,oil_consumption,renewables_consumption,PopDensity,Death rate,Child mortality rate,Fertility rate: children per woman,Age Median,Population,Pop<15,Pop100+,Life ExpectancyM,Life ExpectancyF,Birth rate
Mauritius,2008,20333457408,,,2.43,15889.464,,1.59,,,,628.4155,7.017,1.48873,1.6668,30.7,1275691,293107,48,69.7,77.2,13.116
Mozambique,1987,20141754368,,,,351.898,,,,,,16.4867,22.614,25.36572,6.3403,16.3,12964793,5811514,11,36.9,45.1,47.109
Norway,1985,1.1464E+11,,13.013,,104859.812,132.684,,0,107.215,302.761,13.6498,10.683,1.04212,1.6781,33.6,4152640,830842,234,72.6,79.4,12.314
Togo,2018,11866978304,,,1.26,1253.321,,0.25,,,,147.9441,8.766,6.88169,4.4425,18.3,8046680,3292584,0,59.8,60.6,33.186
Democratic Republic of Congo,1958,18708994048,,,,,,,,,,6.4265,23.518,27.58283,6.0357,17.2,14569216,6276544,26,39.3,41.6,46.691
Tunisia,2002,76877553664,,,11.07,9695.501,,5.41,0,,,64.946,4.863,2.61912,1.9694,24.3,10094564,2846469,58,71.5,76.7,16.531
Guatemala,2016,1.20159E+11,,,11.44,5357.698,,4.22,,,,152.025,5.038,2.72792,2.9727,20.4,16291004,5802417,559,69.4,75.4,25.541
Iran,1955,44862808064,,,,,,,,,,11.5879,25.995,30.34308,7.0382,19.8,18873866,7440970,15,42.2,40.2,50.114
Angola,2021,,,,16.43,2791.332,,3.22,0,,,27.6761,8.009,6.88471,5.3044,16.2,34503776,15588495,159,59,64.3,38.809
Seychelles,1985,441195008,,,,19324.648,,,,,,148.4311,8.469,2.04082,2.9755,20.3,67854,24410,1,63.6,73.4,24.14
Myanmar,2001,92175081472,,,4.49,963.841,,1.33,0,,,70.4355,9.943,8.732039,2.7826,23.2,46014828,14438194,15,57.3,63.7,22.978
Georgia,1995,18187137024,,,,9073.216,,,,,,70.1925,10.569,4.52887,1.8535,31.1,4877682,1214766,84,64.2,73.2,14.088
Lebanon,2004,48734072832,,,12.01,14306.836,,7.51,,,,447.1943,4.158,1.51926,2.2705,24.6,4574799,1341819,18,73.9,77.9,18.571
Liberia,1998,1996596096,,,,635.875,,,,,,27.4006,16.855,21.46459,6.0169,17.4,2639227,1117312,0,47,50.8,44.27
Upper-middle-income countries,1982,,0.101,8688.868,,14103.108,22641.105,,320.271,8802.605,1501.484,31.7571,7.951,6.37547,3.152,21.4,1707285500,586903360,14654,62.2,68.2,25.501
Philippines,2017,8.58819E+11,1.046,179.974,94.39,4989.89,465.896,52.09,0,248.178,66.717,355.795,5.665,2.83839,2.8652,23.5,106738500,34072330,1268,69.7,73.3,22.664
